file,speaker_id,wer
speaker_15/videos/15_carlos_0_16_16.txt,15,0.882629
speaker_15/videos/15_carlos_0_1_1.txt,15,0.914894
speaker_15/videos/15_carlos_0_2_2.txt,15,0.867188
speaker_15/videos/15_carlos_0_3_3.txt,15,0.913462
speaker_15/videos/15_carlos_0_4_4.txt,15,0.898734
speaker_15/videos/15_carlos_0_5_5.txt,15,0.901515
speaker_15/videos/15_carlos_0_65_65.txt,15,0.906832
speaker_16/videos/16_jorge_0_103_103.txt,16,0.929648
speaker_16/videos/16_jorge_0_104_104.txt,16,0.916279
speaker_16/videos/16_jorge_0_10_10.txt,16,0.888889
speaker_16/videos/16_jorge_0_111_111.txt,16,0.930818
speaker_16/videos/16_jorge_0_112_112.txt,16,0.908537
speaker_16/videos/16_jorge_0_11_11.txt,16,0.886486
speaker_16/videos/16_jorge_0_12_12.txt,16,0.904545
speaker_16/videos/16_jorge_0_13_13.txt,16,0.931579
speaker_16/videos/16_jorge_0_14_14.txt,16,0.907767
speaker_16/videos/16_jorge_0_15_15.txt,16,0.937799
speaker_16/videos/16_jorge_0_16_16.txt,16,0.911628
speaker_16/videos/16_jorge_0_1_1.txt,16,0.920213
speaker_16/videos/16_jorge_0_2_2.txt,16,0.895000
speaker_16/videos/16_jorge_0_3_3.txt,16,0.881443
speaker_16/videos/16_jorge_0_4_4.txt,16,0.897959
speaker_16/videos/16_jorge_0_5_5.txt,16,0.923077
speaker_17/videos/17_itoi_0_103_103.txt,17,0.928571
speaker_17/videos/17_itoi_0_104_104.txt,17,0.915094
speaker_17/videos/17_itoi_0_10_10.txt,17,0.917160
speaker_17/videos/17_itoi_0_111_111.txt,17,0.986301
speaker_17/videos/17_itoi_0_112_112.txt,17,0.938650
speaker_17/videos/17_itoi_0_11_11.txt,17,0.912568
speaker_17/videos/17_itoi_0_12_12.txt,17,0.901869
speaker_17/videos/17_itoi_0_13_13.txt,17,0.990244
speaker_17/videos/17_itoi_0_14_14.txt,17,0.943925
speaker_17/videos/17_itoi_0_15_15.txt,17,0.934272
speaker_17/videos/17_itoi_0_16_16.txt,17,0.918182
speaker_17/videos/17_itoi_0_1_1.txt,17,0.974359
speaker_17/videos/17_itoi_0_2_2.txt,17,0.934010
speaker_17/videos/17_itoi_0_3_3.txt,17,0.930481
speaker_17/videos/17_itoi_0_4_4.txt,17,0.930348
speaker_17/videos/17_itoi_0_5_5.txt,17,0.909548
speaker_18/videos/18_daiki_0_103_103.txt,18,0.920000
speaker_18/videos/18_daiki_0_104_104.txt,18,0.901288
speaker_18/videos/18_daiki_0_10_10.txt,18,0.917582
